"0","4348","专用设备"
"4348","4380","惰性气体系统"
"4348","4381","散料罐"
"0","4343","仪表/报警"
"4343","4371","仪表"
"4343","4372","测量报警系统"
"0","4341","制冷/空调/通风装置"
"4341","4365","制冷设备"
"4341","4366","空调"
"4341","4367","通风装置"
"0","4301","动力推进系统"
"4301","4349","柴油机"
"4301","4350","柴油机发电组"
"4301","4351","柴油机部件"
"4301","4355","空气压缩机"
"4301","4354","螺旋桨"
"4301","4353","轴系"
"4301","4356","锅炉"
"4301","4352","齿轮箱"
"0","4344","厨具"
"0","4294","商船"
"0","4338","油/水处理设备"
"4338","4340","水处理设备"
"4338","4339","油处理设备"
"0","4300","泵"
"0","4342","消防/救生设备"
"4342","4369","个人救生用具"
"4342","4368","消防装置"
"4342","4370","集体救生设备"
"0","4303","甲板机械"
"4303","4311","变速箱"
"4303","4310","救生艇起放设备"
"4303","4312","液压元件"
"4303","4308","舵机"
"4303","4309","起重设备"
"4303","4307","起锚系泊设备"
"0","4298","管件船用材料"
"4298","4313","管"
"4298","4316","管夹/管吊架"
"4298","4315","管子通舱件"
"4298","4314","管连接器"
"4298","4317","管道修补器"
"4298","4318","船用材料"
"0","4345","索具"
"4345","4375","吊带"
"4345","4373","绳索"
"4345","4374","钢丝绳索"
"4345","4376","附属产品"
"0","4295","船廠"
"0","4297","舾裝"
"4297","4324","舱室内装"
"4297","4305","舱面属具"
"4305","4330","梯"
"4305","4306","椅"
"4305","4328","盖"
"4305","4332","空气管头"
"4305","4327","窗"
"4305","4331","通风筒"
"4305","4326","门"
"4305","4329","防火风门"
"4305","4333","雨刮器"
"4297","4323","船体设备"
"4297","4325","防腐蚀"
"0","4304","通导设备"
"4304","4320","导航设备"
"4304","4322","机舱监控"
"4304","4319","通信设备"
"4304","4321","驾控台"
"0","4296","遊艇"
"0","4299","阀门"
"4299","4336","其他"
"4299","4335","特种阀"
"4299","4334","通用阀"
"4299","4337","阀控制系统"
"0","4347","防污染设备"
"4347","4377","污水处理设备"
"4347","4379","溢油回收系统"
"4347","4378","焚烧炉"
"0","4346","集装箱紧固件"
"0","4302","電氣設備"
"4302","4357","发电机"
"4302","4359","变压器"
"4302","4363","灯具"
"4302","4360","电动机"
"4302","4361","电缆"
"4302","4362","电缆附件"
"4302","4358","蓄电池"
"4302","4364","配电设备"
